# Z A Mass(u)
101 245 245.080808
94 246 246.070205
95 246 246.069775
96 246 246.067223
97 246 246.068673
98 246 246.068805
99 246 246.072896
100 246 246.075350
101 246 246.081713
94 247 247.074190
95 247 247.072093
96 247 247.070354
97 247 247.070307
98 247 247.070965
99 247 247.073622
100 247 247.076945
101 247 247.081522
95 248 248.075753
96 248 248.072349
97 248 248.073088
98 248 248.072185
99 248 248.075471
100 248 248.077186
101 248 248.082823
102 248 248.086550
95 249 249.078480
96 249 249.075954
97 249 249.074987
98 249 249.074853
99 249 249.076411
100 249 249.078927
101 249 249.082914
102 249 249.087797
96 250 250.078358
97 250 250.078316
98 250 250.076406
99 250 250.078612
100 250 250.079521
101 250 250.084415
102 250 250.087562
96 251 251.082286
97 251 251.080762
98 251 251.079588
99 251 251.079993
100 251 251.081539
101 251 251.084774
102 251 251.088944
103 251 251.094180
96 252 252.084870
97 252 252.084311
98 252 252.081627
99 252 252.082979
100 252 252.082467
101 252 252.086432
102 252 252.088966
103 252 252.095264
97 253 253.086880
98 253 253.085134
99 253 253.084825
100 253 253.085184
101 253 253.087144
102 253 253.090564
103 253 253.095091
104 253 253.100438
97 254 254.090600
98 254 254.087324
99 254 254.088022
100 254 254.086854
101 254 254.089592
102 254 254.090955
103 254 254.096483
104 254 254.100053
98 255 255.091048
99 255 255.090274
100 255 255.089964
101 255 255.091084
102 255 255.093191
103 255 255.096562
104 255 255.101268
105 255 255.107068
98 256 256.093442
99 256 256.093599
100 256 256.091774
101 256 256.093889
102 256 256.094282
103 256 256.098494
104 256 256.101152
105 256 256.107890
99 257 257.095979
100 257 257.095106
101 257 257.095542
102 257 257.096887
103 257 257.099418
104 257 257.102918
105 257 257.107578
99 258 258.099520
100 258 258.097077
101 258 258.098431
102 258 258.098207
103 258 258.101755
104 258 258.103427
105 258 258.109285
106 258 258.112983
100 259 259.100597
101 259 259.100511
102 259 259.101032
103 259 259.102902
104 259 259.105596
105 259 259.109491
106 259 259.114396
100 260 260.102809
101 260 260.103653
102 260 260.102644
103 260 260.105505
104 260 260.106441
105 260 260.111297
106 260 260.114384
107 260 260.121659
101 261 261.105828
102 261 261.105697
103 261 261.106884
104 261 261.108773
105 261 261.111917
106 261 261.115949
107 261 261.121455
101 262 262.109101
102 262 262.107464
103 262 262.109612
104 262 262.109925
105 262 262.114072
106 262 262.116336
107 262 262.122967
102 263 263.110715
103 263 263.111359
104 263 263.112495
105 263 263.114990
106 263 263.118294
107 263 263.122916
108 263 263.128522
102 264 264.112734
103 264 264.114201
104 264 264.113879
105 264 264.117405
106 264 264.118931
107 264 264.124593
108 264 264.128356
103 265 265.116193
104 265 265.116684
105 265 265.118613
106 265 265.121093
107 265 265.124914
108 265 265.129792
109 265 265.135996
103 266 266.119831
104 266 266.118172
105 266 266.121029
106 266 266.121975
107 266 266.126794
108 266 266.130046
109 266 266.137374
104 267 267.121789
105 267 267.122465
106 267 267.124357
107 267 267.127501
108 267 267.131673
109 267 267.137189
110 267 267.143768
104 268 268.123968
105 268 268.125671
106 268 268.125392
107 268 268.129692
108 268 268.131865
109 268 268.138649
110 268 268.143478
105 269 269.127911
106 269 269.128627
107 269 269.130416
108 269 269.133753
109 269 269.138822
110 269 269.144752
105 270 270.131356
106 270 270.130427
107 270 270.133363
108 270 270.134290
109 270 270.140327
110 270 270.144584
106 271 271.133933
107 271 271.135256
108 271 271.137170
109 271 271.140744
110 271 271.145946
106 272 272.135890
107 272 272.138264
108 272 272.138495
109 272 272.143406
110 272 272.146020
111 272 272.153273
106 273 273.139580
107 273 273.140240
108 273 273.141679
109 273 273.144399
110 273 273.148560
111 273 273.153127
107 274 274.143548
108 274 274.143304
109 274 274.147245
110 274 274.149411
111 274 274.155253
107 275 275.145670
108 275 275.146668
109 275 275.148820
110 275 275.152033
111 275 275.155939
108 276 276.148455
109 276 276.151594
110 276 276.153025
111 276 276.158334
112 276 276.161410
108 277 277.151899
109 277 277.153268
110 277 277.155914
111 277 277.159069
112 277 277.163641
109 278 278.156307
110 278 278.157040
111 278 278.161493
112 278 278.164156
113 278 278.170578
109 279 279.158075
110 279 279.160097
111 279 279.162722
112 279 279.166542
113 279 279.170950
110 280 280.161311
111 280 280.165138
112 280 280.167147
113 280 280.172930
110 281 281.164511
111 281 281.166360
112 281 281.169746
113 281 281.173480
111 282 282.169119
112 282 282.170496
113 282 282.175672
111 283 283.170544
112 283 283.173270
113 283 283.176571
112 284 284.174156
113 284 284.178727
112 285 285.177117
113 285 285.179727
114 285 285.183643
113 286 286.182208
114 286 286.184235
113 287 287.183389
114 287 287.186783
115 287 287.190704
114 288 288.187572
115 288 288.192740
114 289 289.190419
115 289 289.193627
116 289 289.198162
115 290 290.195975
116 290 290.198638
115 291 291.197071
116 291 291.201077
117 291 291.205535
116 292 292.201742
117 292 292.207463
116 293 293.204487
117 293 293.208236
118 293 293.213562
117 294 294.210462
118 294 294.213921
118 295 295.216240
