# Z A Mass(u)
40 95 94.908038
41 95 94.906832
42 95 94.905838
43 95 94.907653
44 95 94.910405
45 95 94.915897
46 95 94.924889
47 95 94.936020
48 95 94.949940
35 96 95.959030
36 96 95.943016
37 96 95.934133
38 96 95.921706
39 96 95.915896
40 96 95.908271
41 96 95.908097
42 96 95.904676
43 96 95.907868
44 96 95.907590
45 96 95.914453
46 96 95.918215
47 96 95.930743
48 96 95.940340
35 97 96.963440
36 97 96.949088
37 97 96.937177
38 97 96.926373
39 97 96.918274
40 97 96.910951
41 97 96.908095
42 97 96.906018
43 97 96.906366
44 97 96.907547
45 97 96.911329
46 97 96.916471
47 97 96.923965
48 97 96.935100
49 97 96.949340
35 98 97.969460
36 98 97.952430
37 98 97.941686
38 98 97.928688
39 98 97.922382
40 98 97.912728
41 98 97.910326
42 98 97.905404
43 98 97.907212
44 98 97.905286
45 98 97.910707
46 98 97.912698
47 98 97.921559
48 98 97.927389
49 98 97.942140
36 99 98.958390
37 99 98.945028
38 99 98.932890
39 99 98.924147
40 99 98.916666
41 99 98.911613
42 99 98.907708
43 99 98.906250
44 99 98.905934
45 99 98.908128
46 99 98.911774
47 99 98.917645
48 99 98.924925
49 99 98.934110
50 99 98.948530
36 100 99.962370
37 100 99.950030
38 100 99.935769
39 100 99.927714
40 100 99.918000
41 100 99.914327
42 100 99.907471
43 100 99.907653
44 100 99.904214
45 100 99.908117
46 100 99.908504
47 100 99.916115
48 100 99.920348
49 100 99.930957
50 100 99.938504
36 101 100.968730
37 101 100.954039
38 101 100.940351
39 101 100.930147
40 101 100.921447
41 101 100.915310
42 101 100.910341
43 101 100.907309
44 101 100.905576
45 101 100.906160
46 101 100.908286
47 101 100.912683
48 101 100.918586
49 101 100.926340
50 101 100.935259
37 102 101.959520
38 102 101.943790
39 102 101.934327
40 102 101.923140
41 102 101.918077
42 102 101.910283
43 102 101.909209
44 102 101.904344
45 102 101.906837
46 102 101.905602
47 102 101.911704
48 102 101.914481
49 102 101.924107
50 102 101.930290
37 103 102.963920
38 103 102.949090
39 103 102.937243
40 103 102.927190
41 103 102.919457
42 103 102.913078
43 103 102.909176
44 103 102.906318
45 103 102.905497
46 103 102.906080
47 103 102.908963
48 103 102.913416
49 103 102.919881
50 103 102.928105
51 103 102.939690
38 104 103.952650
39 104 103.941960
40 104 103.929435
41 104 103.922892
42 104 103.913734
43 104 103.911424
44 104 103.905427
45 104 103.906649
46 104 103.904030
47 104 103.908623
48 104 103.909856
49 104 103.918214
50 104 103.923105
51 104 103.936477
38 105 104.958550
39 105 104.945440
40 105 104.934008
41 105 104.924946
42 105 104.916968
43 105 104.911654
44 105 104.907747
45 105 104.905688
46 105 104.905079
47 105 104.906525
48 105 104.909463
49 105 104.914502
50 105 104.921268
51 105 104.931275
52 105 104.943304
38 106 105.962651
39 106 105.950560
40 106 105.936760
41 106 105.928931
42 106 105.918259
43 106 105.914357
44 106 105.907329
45 106 105.907286
46 106 105.903480
47 106 105.906663
48 106 105.906459
49 106 105.913463
50 106 105.916957
51 106 105.928637
52 106 105.937499
38 107 106.968975
39 107 106.954520
40 107 106.941740
41 107 106.931593
42 107 106.922105
43 107 106.915460
44 107 106.909972
45 107 106.906747
46 107 106.905128
47 107 106.905091
48 107 106.906612
49 107 106.910290
50 107 106.915713
51 107 106.924150
52 107 106.935011
53 107 106.946780
39 108 107.959960
40 108 107.944870
41 108 107.936074
42 108 107.924033
43 108 107.918495
44 108 107.910188
45 108 107.908714
46 108 107.903891
47 108 107.905950
48 108 107.904183
49 108 107.909693
50 108 107.911894
51 108 107.922226
52 108 107.929380
53 108 107.943481
39 109 108.964358
40 109 108.950410
41 109 108.939216
42 109 108.928424
43 109 108.920256
44 109 108.913325
45 109 108.908748
46 109 108.905950
47 109 108.904755
48 109 108.904986
49 109 108.907151
50 109 108.911292
51 109 108.918141
52 109 108.927304
53 109 108.938085
54 109 108.950434
40 110 109.953960
41 110 109.944030
42 110 109.930703
43 110 109.923743
44 110 109.914040
45 110 109.911079
46 110 109.905172
47 110 109.906110
48 110 109.903006
49 110 109.907169
50 110 109.907844
51 110 109.916854
52 110 109.922458
53 110 109.935089
54 110 109.944263
40 111 110.959678
41 111 110.947530
42 111 110.935654
43 111 110.925901
44 111 110.917569
45 111 110.911642
46 111 110.907689
47 111 110.905295
48 111 110.904182
49 111 110.905108
